Companies,Employees,Total Revenue (FY),Revenue per Employee (FY),ROA (Return on Asset) (FY),ROIC (Return on Invested Capital) (FY),Net Profit Margin (FY),EBITDA Margin (FY),Revenue % Growth (FY),Net Debt (FY),Debt to Capital (FY),Total Assets (FY),Price % Change YTD,EV (FY),HQ State/Province,Primary Industry Group,CEO,CEO Total Compensation (in millions)
Realtime Electronic Payments (NAS: RPAY),465,"296,627.00","579,349.61",(0.67),(8.68),(39.59),(4.93),6.23,"324,946",0.35,"1,519,833.00",6.09,"1,124,958",Georgia,Capital Markets/Institutions,John Morris,8.92
ON24 (NYS: ONTF),462,"190,872.00","298,237.50",(16.09),(17.76),(30.50),(28.06),(6.26),"(318,879)",0.03,"425,473.00",(8.69),"83,192",California,Software,Sharat Sharan,0.95
Life360 (NAS: LIF),455,"228,305.00","570,762.50",(1.19),(37.25),(40.13),(35.97),102.68,"(67,058)",0.03,"339,630.00",,"579,680",California,Software,Chris Hulls,1.91
Weedmaps (NAS: MAPS),440,"215,531.00","371,605.17",(8.51),(43.34),(38.35),52.23,11.59,"10,794",0.75,"199,035.00",(28.68),"152,150",California,Media,Douglas Francis,1.16
Interdigital (NAS: IDCC),430,"457,794.00","1,077,162.35",20.43,8.22,20.11,46.13,7.61,"(574,788)",0.46,"1,900,105.00",119.36,"1,216,181",Delaware,Communications and Networking,Lawrence Chen,4.77
Getaround (PINX: GETR),422,"59,455.00","210,088.34",(63.86),,(228.85),(189.02),(5.73),"17,260",0.54,"205,419.00",(63.98),"581,399",California,Transportation,Sam Zaid,0.47
DHI Group (NYS: DHX),414,"149,680.00","282,415.09",0.11,3.70,2.79,15.14,24.83,"35,527",0.27,"226,704.00",(51.04),"286,502",New York,Commercial Services,Art Zeile,3.83
Daily Journal (NAS: DJCO),411,"67,709.00","188,080.56",21.44,6.62,31.68,48.31,25.37,"(247,694)",0.28,"354,860.00",40.15,"149,596",California,Media,Steven Myhill-Jones,1.05
CISO Global (NAS: CISO),402,"46,550.00","103,673.98",(111.60),(44.77),(72.56),(63.96),207.41,"13,000",0.16,"104,497.00",(96.02),"382,639",Arizona,Software,David Jemmett,0.39
Logility Supply Chain Solutions (NAS: LGTY),389,"108,252.00","274,751.27",(34.86),6.09,9.22,12.23,1.63,"(114,147)",0.00,"194,868.00",(23.02),"299,458",Georgia,Software,H. Allan Dow,2.76
Backblaze (NAS: BLZE),381,"85,155.00","216,679.39",(194.24),(38.22),(60.36),(16.14),26.19,"(19,937)",0.40,"152,458.00",23.41,"167,291",California,IT Services,Gleb Budman,0.61
Roadzen (NAS: RDZN),379,"13,560.00",,5.15,,(104.72),(87.34),35.76,"8,361",-0.21,"15,181.00",(22.53),,California,Software,Rohan Malhotra,0.13
Viant Technology (NAS: DSP),376,"222,934.00","669,471.47",2.99,(5.69),(4.46),(1.64),13.07,"(191,024)",0.27,"404,911.00",71.39,"134,397",California,Commercial Services,Tim Vanderhook,1.55
Rekor Systems (NAS: REKR),351,"19,920.00","74,328.36",(51.70),(86.29),(418.95),(391.57),72.10,"17,837",0.29,"83,840.00",177.50,"76,388",Maryland,IT Services,David Desharnais,0.80
iLearningEngines (PINX: AILE),350,"420,582.00",,,,(1.05),,36.04,0,0.00,,,,Maryland,Software,Puthugramam K. Chidambaran,0.41
Cantaloupe (Commercial Services) (NAS: CTLP),348,"243,641.00","905,728.62",3.87,0.25,0.26,3.87,18.73,"(8,727)",0.20,"289,612.00",70.34,"576,484",Pennsylvania,Commercial Services,Ravi Venkatesan,2.80
Rubicon (PINX: RBTC),340,"675,388.00","1,556,193.55",(37.31),,(41.72),(38.36),15.84,"129,276",-0.85,"204,029.00",(87.01),"348,602",Georgia,Software,Philip Rodoni,2.46
BigTinCan (ASX: BTH),328,"82,283.00",,(4.31),(9.76),(22.37),(4.03),13.29,"(19,762)",0.02,"211,923.00",(61.93),"185,238",Massachusetts,Software,David Keane,0.64
Core Scientific (NAS: CORZ),325,"640,313.00","2,724,736.17",(136.74),(149.52),(335.20),(287.44),17.60,"21,847",-0.10,"807,686.00",,,Texas,Software,Adam Sullivan,0.89
Blaize (NAS: BZAI),321,"3,841.00",,(462.00),,"(2,724.03)","(1,153.58)",,(107),-0.07,"19,278.00",,,California,Semiconductors,Dinakar Munagala,1.64
SoundThinking (NAS: SSTI),312,"81,003.00","380,295.77",(6.48),11.62,7.88,20.62,39.29,"(7,057)",0.05,"122,748.00",(24.50),"406,634",California,Commercial Services,Ralph Clark,4.71
Borqs Technologies (PINX: BRQSF),305,"52,537.00","166,784.13",(103.64),,(55.09),(28.29),77.72,"(10,475)",-0.27,"30,143.00",(96.20),"2,515",California,Communications and Networking,Sek Yuen Chan,472.2k
Aeva (NAS: AEVA),301,"4,192.00","13,699.35",(50.06),(37.38),"(3,513.96)","(3,454.91)",(54.75),"(316,356)",0.02,"356,632.00",(44.29),"(45,824)",California,Computer Hardware,Soroush Dardashti,7.61
Cemtrex (NAS: CETX),281,"59,369.00","153,011.76",21.46,(15.06),(10.77),(0.01),31.85,"6,934",0.62,"48,454.00",15.72,"5,610",New York,Computer Hardware,Saagar Govil,0.65
Dave (NAS: DAVE),274,"259,100.00","909,098.25",(16.77),,(18.72),,26.49,0,0.00,,(9.64),"111,493",California,Software,Jason Wilk,2.32
Silvaco (NAS: SVCO),267,"54,246.00",,(37.42),1.25,(0.58),3.20,16.72,(488),0.29,"40,885.00",,,California,Software,Babak Taheri,1.21
Castellum (ASE: CTM),260,"42,191.00","203,819.53",(51.05),(42.56),(35.33),(19.11),68.31,"5,467",0.37,"33,043.00",(76.35),"60,421",Maryland,Commercial Products,Glen Ives,2.86
SoundHound AI (NAS: SOUN),260,"31,129.00","72,393.02",(99.69),,(374.93),(321.55),46.86,"34,879",5.84,"37,986.00",19.77,"365,802",California,Software,Keyvan Mohajer,1.86
Society Pass (NAS: SOPA),250,"5,636.00",,(75.51),(107.52),(603.58),(545.87),984.00,"(17,362)",0.07,"32,699.00",(69.68),"3,942",California,Commercial Services,Raynauld Liang,0.76
Smith Micro Software (NAS: SMSI),231,"48,513.00","154,009.52",(44.90),(28.11),(60.35),(38.79),(16.96),(602),0.15,"103,581.00",(60.67),"111,044",Pennsylvania,Software,William Smith Jr.,1.00
Urgent.ly (NAS: ULY),223,"187,589.00",,(25.71),,(51.17),(33.88),26.32,"95,946",-1.30,"46,943.00",(44.47),,Virginia,Software,Matthew Booth,2.55
Widepoint (ASE: WYY),216,"94,103.00","431,666.81",125.48,(64.15),(25.06),(16.74),7.75,"(2,188)",0.23,"49,013.00",27.47,"16,325",Virginia,IT Services,Jin Kang,0.55
Digimarc (NAS: DMRC),215,"30,197.00","109,014.44",(8.13),(64.16),(198.03),(169.29),13.87,"(46,565)",0.06,"113,777.00",95.35,"320,209",Oregon,IT Services,Riley McCormack,2.35
Red Violet (NAS: RDVT),215,"53,318.00","285,122.99",7.34,0.43,1.16,13.20,21.12,"(30,520)",0.02,"77,414.00",(13.25),"290,014",Florida,Software,Derek Dubner,1.66
QXO (NYS: QXO),211,"54,517.00","279,574.36",2.72,(9.33),(1.96),(0.57),21.19,"(3,524)",0.26,"20,495.00",478.04,"84,679",Connecticut,IT Services,Mark Meller,1.16
Intellinetics (ASE: INLX),199,"14,017.00","84,439.33",1.25,5.11,0.17,11.10,22.31,"4,327",0.45,"19,943.00",18.50,"21,584",Ohio,Software,James F. DeSocio,0.30
OMNIQ (PINX: OMQS),182,"100,758.00","466,472.22",(52.26),(65.46),(13.51),(6.98),28.76,"14,926",2.84,"64,811.00",(85.10),"51,196",Utah,Software,Shai Lustgarten,0.74
Nextplat (NAS: NXPL),166,"11,710.00","616,315.79",(28.46),(40.95),(78.23),(57.52),51.29,"(17,816)",0.04,"28,644.00",30.95,"6,525",Florida,Communications and Networking,Charles Fernandez,3.27
Sonic Foundry (PINX: SOFO),153,"27,466.00","142,310.88",(101.48),(88.06),(25.79),(21.67),(21.90),(231),0.46,"19,900.00",(75.19),"11,760",Wisconsin,Software,Joe Mozden Jr.,0.30
Creative Realities (NAS: CREX),152,"43,350.00","361,250.00",(4.38),12.25,4.33,17.37,135.13,"17,523",0.43,"66,015.00",35.63,"29,076",Kentucky,IT Services,Rick Mills,4.17
Adeia (NAS: ADEA),150,"438,933.00","3,657,775.00",5.95,9.33,31.53,71.88,12.20,"621,740",0.71,"1,210,526.00",30.70,"1,563,629",California,Media,Paul E. Davis,5.41
Applied Digital (NAS: APLD),150,"55,392.00","457,785.12",(29.94),(38.60),(82.33),(65.96),547.94,"62,811",0.61,"263,957.00",266.30,"826,782",Texas,IT Services,Wes Cummins,5.95
Grindr (NYS: GRND),148,"195,015.00","965,420.79",(29.07),6.08,0.44,33.96,33.72,"356,611",0.99,"438,828.00",88.82,"977,000",California,Software,George Arison,5.51
Research Solutions (NAS: RSSS),145,"37,703.00","260,023.81",(11.29),9.66,1.52,1.67,14.48,"(13,545)",,"21,835.00",35.42,"48,049",Nevada,Software,Roy W. Olivier,0.60
Cirata (LON: CRTA),138,"9,685.00","54,717.51",(192.00),(94.80),(305.68),(256.63),32.56,"(18,569)",0.03,"25,599.00",(91.88),"711,842",California,Software,Stephen Kelly,0.52
ConnectM (NAS: CNTM),127,"15,441.00",,(5.56),(62.25),(22.94),(20.20),255.95,"6,156",-1.88,"11,058.00",,,Massachusetts,Software,Bhaskar Panigrahi,0.18
Usio (NAS: USIO),126,"69,428.00","593,404.15",,(28.78),(7.90),(3.57),12.09,"(2,681)",0.13,"97,913.00",4.24,"40,376",Texas,Software,Louis Hoch,1.24
Paysign (NAS: PAYS),123,"38,034.00","345,760.61",(0.43),1.73,2.70,8.56,29.08,"(6,035)",0.18,"108,244.00",8.53,"130,575",Nevada,Other Financial Services,Mark Newcomer,1.20
SRAX (PINX: SRAX),122,"27,859.00","228,352.46",5.47,(253.84),(113.56),(94.63),4.31,"(1,043)",-2.93,"18,070.00",(98.01),"24,715",California,Commercial Services,Christopher Miglino,0.92
Expensify (NAS: EXFY),115,"169,495.00","1,228,224.64",,(14.37),(15.93),(5.81),18.66,"(36,002)",0.41,"210,241.00",(72.03),"692,052",Oregon,Software,David Barrett,1.83
The Glimpse Group (NAS: VRAR),112,"13,482.00","72,485.83",(29.96),(110.64),(211.86),(197.39),85.51,"(4,790)",0.07,"24,278.00",(62.71),"46,073",New York,Software,Lyron Bentovim,0.74
VirTra (NAS: VTSI),112,"28,302.00","233,902.84",13.25,4.68,6.91,13.52,15.83,"(3,923)",0.22,"53,814.00",102.35,"45,075",Arizona,Commercial Products,John Givens,0.97
CSPi (NAS: CSPI),111,"64,647.00","577,205.36",(0.49),9.31,8.05,6.91,18.92,"(22,269)",0.06,"65,904.00",106.68,"68,874",Massachusetts,Computer Hardware,Victor Dellovo,1.23
NextNav (NAS: NN),111,"3,926.00","37,037.74",(48.63),(38.51),"(1,021.80)",(951.96),414.55,"(47,624)",0.07,"123,788.00",51.88,"248,305",Virginia,Communications and Networking,Ganesh Pattabiraman,1.96
Marin Software (NAS: MRIN),108,"20,019.00","113,101.69",(70.79),(41.51),(91.05),(64.10),(18.02),"(24,113)",0.11,"42,084.00",(63.35),"(11,121)",California,Software,Chris Lien,0.66
VERSES (NEOE: VERS),105,"1,605.00","43,381.19",(424.30),(303.90),"(1,212.29)","(1,190.18)",(42.13),760,0.86,"8,641.00",162.93,"79,740",California,Software,Gabriel René,0.43
CreditRiskMonitor (PINX: CRMZ),99,"17,979.00","199,770.19",7.40,15.52,7.57,11.87,5.36,"(11,935)",0.21,"22,468.00",(2.92),"14,134",New York,Other Financial Services,Jerry Flum,0.15
RYVYL (NAS: RVYL),99,"32,909.00","299,172.73",(46.56),(31.32),(149.61),(18.77),25.11,"49,417",1.03,"97,657.00",(9.33),"72,825",California,Software,Ben Errez,0.83
Katapult (Consumer Finance) (NAS: KPLT),90,"209,497.00","1,745,808.33",(33.61),(17.97),(19.32),45.44,(30.88),"41,093",1.02,"130,052.00",(54.46),"111,039",Texas,Other Financial Services,Orlando Zayas,1.78
Remark Holdings (PINX: MARK),88,"11,666.00","132,568.18",(227.35),(241.64),(475.60),(421.90),(27.04),"14,749",-2.63,"14,436.00",(54.98),"26,495",Nevada,Software,Kai-Shing Tao,0.35
Trust Stamp (NAS: IDAI),86,"5,385.00","64,880.45",(105.41),(229.69),(224.54),(209.87),46.42,(88),0.72,"6,412.00",(43.05),"9,712",Georgia,Software,Gareth Genner,0.65
Banzai International (NAS: BNZI),85,"5,333.00",,(268.13),,(290.05),(242.39),2.42,"13,181",-1.43,"5,479.00",(71.03),,Washington,Software,Joe Davy,0.31
Wag (San Francisco) (NAS: PET),84,"54,865.00","669,085.37",(26.88),,(70.29),(64.73),173.20,"(11,991)",0.73,"52,311.00",(43.14),"111,243",California,Services (Non-Financial),Garrett Smallwood,1.44
Springbig Holdings (PINX: SBIG),83,"26,629.00","211,341.27",(135.45),(149.84),(49.10),(43.43),13.98,"5,500",1.67,"9,657.00",(70.10),"16,247",Florida,Commercial Services,Jeffrey Harris,0.98
Inuvo (ASE: INUV),82,"73,912.00","812,214.59",(18.98),,(14.06),,(2.24),,1.02,"32,374.00",91.87,"52,639",Arkansas,Software,Richard Howe,1.07
Public Square (Internet Retail) (NYS: PSQH),82,475.00,,(88.94),(188.60),"(1,468.63)","(1,280.23)",,"(2,031)",0.08,"4,216.00",(82.42),,Florida,Retail,Michael Seifert,1.21
Cyngn (NAS: CYN),81,262.00,"3,969.70",(159.39),(74.29),"(7,342.18)","(7,128.14)",,"(22,224)",0.02,"25,505.00",(76.37),"(4,428)",California,Commercial Transportation,Lior Tal,1.02
Total Site Solutions (NAS: TSSI),81,"30,637.00","437,671.43",0.22,7.18,(0.24),4.23,11.77,"(15,621)",0.62,"31,406.00",(51.60),"7,390",Texas,IT Services,Darryll Dewan,0.56
Freight Technologies (NAS: FRGT),78,"25,888.00","294,186.77",(89.38),(154.29),(31.62),(26.83),20.56,"2,334",0.52,"10,416.00",(85.34),"5,314",Texas,Software,Javier Selgas,0.54
High Wire Networks (PINX: HWNI),77,"26,767.00","76,916.08",(68.76),(44.92),(42.06),(25.50),(1.62),"4,973",-0.92,"32,595.00",(53.45),"34,189",Illinois,IT Services,Mark Porter,0.31
Aware (USA) (NAS: AWRE),73,"16,008.00","195,219.51",(10.03),(5.14),(10.78),(9.10),(5.02),"(24,461)",0.10,"51,192.00",(2.92),"6,060",Massachusetts,Software,Robert A. Eckel,0.51
Park City Group (NYS: TRAK),73,"19,099.00","276,795.80",11.73,10.60,29.27,32.93,5.83,"(23,244)",0.02,"50,583.00",102.22,"163,034",Utah,Software,Randall K. Fields,1.75
Intermap Technologies (TSE: IMP),72,"6,795.00","98,478.26",(68.79),(428.86),(77.75),(50.93),17.18,325,-1.57,"6,335.00",15.24,"15,354",Colorado,IT Services,Patrick Blott,0.61
Duos Technologies (NAS: DUOT),71,"15,012.00","200,164.88",(84.54),(80.85),(45.73),(41.76),81.75,"4,216",0.57,"13,089.00",45.00,"14,567",Florida,Software,Chuck Ferry,0.45
Future FinTech Group (NAS: FTFT),69,"23,881.00","227,438.15",(43.83),(19.52),(58.66),(60.95),(4.67),"(22,414)",0.06,"85,018.00",(1.61),"(4,702)",New York,Software,Shanchun Huang,0.24
POSaBIT (CNQ: PBIT),62,"46,801.00",,(69.26),,11.61,12.47,119.71,"(2,763)",0.07,"15,234.00",(64.50),"95,223",Washington,Software,Ryan Hamlin,1.48
QuickFee (ASX: QFE),61,"4,999.00",,(7.95),(32.15),(108.61),(151.04),29.83,"19,295",0.78,"31,848.00",(12.66),"28,590",California,Software,Bruce Coombes,0.39
Boardwalktech Software (TSX: BWLK),53,"6,475.00",,(95.14),,(55.36),(49.09),48.00,"(2,060)",-0.15,"3,783.00",(65.02),"24,034",California,Software,Andrew Duncan,0.24
Data Storage (NAS: DTST),52,"23,871.00","530,463.04",1.27,(17.92),(18.47),(12.79),60.46,"(9,647)",0.08,"24,086.00",94.59,694,New York,IT Services,Chuck Piluso,0.59
Intellicheck (NAS: IDN),51,"15,966.00","301,245.28",(8.69),(22.37),(26.05),(23.46),(2.60),"(10,076)",0.00,"22,453.00",(5.00),"26,127",New York,Software,Bryan Lewis,1.09
Intrusion (NAS: INTZ),50,"7,529.00","112,373.13",(34.40),(176.84),(215.55),(193.78),3.46,"8,301",1.59,"9,275.00",(91.99),"71,673",Texas,Software,Tony Scott,0.32
Edge Total Intelligence (TSX: CTRL),49,"3,571.00",,(101.49),(169.27),(174.53),(120.14),(12.65),"8,797",9.27,"3,575.00",(19.70),"16,761",Virginia,Software,Jim Barrett,0.29
AEye (NAS: LIDR),45,"3,647.00","22,793.75",(89.89),(66.70),"(2,706.72)","(2,687.17)",21.28,"(66,469)",0.23,"133,340.00",(84.12),"(5,778)",California,Transportation,Luis Dussan,3.00
Cloudastructure (NAS: CSAI),31,607.00,,(104.24),(107.68),"(1,483.69)","(1,458.32)",24.13,"(4,042)",0.00,"4,954.00",,,California,Software,James McCormick,0.06
Spectra Systems (LON: SPSY),28,"19,627.00",,13.34,21.61,31.09,40.26,18.29,"(16,223)",0.04,"38,017.00",42.66,"76,825",Rhode Island,IT Services,Nabil Lawandy Ph.D,0.64
Virnetx (NYS: VHC),27,48.00,"1,920.00",(28.14),(21.56),"(75,541.67)","(45,977.08)",37.14,"(152,023)",0.00,"152,975.00",(73.08),"(66,148)",Nevada,Software,Kendall Larsen,2.10
OLB Group (NAS: OLB),26,"30,369.00","1,168,037.65",(68.73),(19.62),(25.64),(3.06),81.73,146,0.02,"38,654.00",26.36,"10,879",New York,Software,Ronny Yakov,1.62
VERB Technology (NAS: VERB),23,8.00,103.90,(91.48),(66.25),"(199,475.00)","(168,000.00)",(99.92),"6,525",0.63,"24,492.00",(97.38),"24,648",Nevada,Software,Rory Cutaia JD,0.00
authID (NAS: AUID),22,527.00,"25,115.00",(188.76),(167.12),"(4,488.93)","(4,087.44)",(14.03),"4,604",0.97,"9,374.00",104.20,"15,684",Colorado,Software,Rhoniel Daguro,1.73
Oblong (NAS: OBLG),21,"5,476.00","248,909.09",(61.27),(159.07),(400.68),(366.78),(29.24),"(2,849)",0.06,"5,661.00",(88.78),(170),Colorado,Software,Peter Holst,0.70
Intelligent Protection Management (NAS: IPM),17,"10,990.00","578,397.11",(4.37),(14.95),(31.05),(26.46),(17.21),"(14,581)",0.01,"25,432.00",77.27,"(2,984)",New York,Software,Jason Katz JD,0.23
Immersion (US) (NAS: IMMR),14,"38,461.00","1,923,050.00",16.82,19.48,79.73,63.10,9.61,"(149,252)",0.01,"190,110.00",0.43,"94,301",Florida,Software,Eric Singer,3.90
Signing Day Sports (ASE: SGN),14,78.00,,(295.79),(329.31),"(8,519.47)","(7,755.56)",(77.03),"7,112",-10.00,454.00,(41.45),,Arizona,Services (Non-Financial),Daniel Nelson,0.14
Auddia (NAS: AUUD),13,0.00,0.00,(157.10),(99.29),,,0.00,115,0.32,"6,112.00",(73.96),"11,192",Colorado,Software,Michael Lawless,0.26
Vocodia (PINX: VHAI),13,659.00,,(185.92),(968.67),"(3,150.10)","(3,091.07)","1,824.17",756,0.47,"4,912.00",,,Florida,Software,Brian Podolak,0.59
DatChat (NAS: DATS),12,46.00,"3,080.93",(86.44),(72.69),"(26,266.01)","(25,909.02)",939.69,"(12,590)",-0.01,"13,114.00",16.24,"(8,960)",New Jersey,Software,Darin Myman,0.75
Amesite (NAS: AMST),11,845.00,"60,357.79",(93.43),(56.02),(491.51),(419.17),21.23,"(5,261)",0.00,"6,350.00",7.08,"3,017",Michigan,Software,Ann Sastry Ph.D,0.55
BlackboxStocks (NAS: BLBX),10,"4,959.00","354,222.07",(62.81),(82.43),(101.23),(97.84),(18.87),"(3,238)",0.16,"4,336.00",135.00,(73),Texas,Software,Gust Kepler,0.21
Veritec (PINX: VRTC),7,356.00,"50,857.14",(965.33),,(346.63),(207.30),0.85,"7,831",-9.98,74.00,160.87,"8,598",Minnesota,Software,Van Tran,0.15
Cuentas (PINX: CUEN),6,"2,994.00","499,000.00",(53.78),(297.83),(485.34),(423.25),404.89,(268),-0.38,"1,499.00",(71.21),"1,592",Florida,Software,Arik Maimon,0.70
Deepspatial AI (CNQ: DSAI),6,14.00,,(105.00),(122.57),"(8,179.15)","(6,146.17)",,503,-7.72,897.00,28.05,"4,738",New York,Software,Rahul Kushwah Ph.D,0.07
SUIC Worldwide Holdings (PINX: SUIC),6,221.00,"36,833.33",1.52,(0.12),(1.09),(0.21),(41.69),415,1.15,573.00,(10.64),"8,291",New York,Other Financial Services,Hank Wang,0.00
Innovative Payment Solutions (PINX: IPSI),5,1.00,169.40,(306.71),(339.63),"(1,209,341.68)","(1,139,048.64)",,"3,021",-6.05,"2,753.00",(24.86),"5,446",California,Software,William Corbett,0.29
Hestia Insight (PINX: HSTA),3,15.00,"5,000.00",(114.64),(250.82),"(11,426.14)","(11,418.81)",,(515),0.01,713.00,(54.55),"17,043",Nevada,Capital Markets/Institutions,Edward Lee,0.00
Rivulet Entertainment (PINX: RIVF),3,0.00,0.00,"(3,340.90)",,,,0.00,20,-0.06,1.00,31.45,"1,729",Arizona,Software,Walter Geldenhuys,0.14
Spectral Capital (PINX: FCCN),3,98.00,"98,323.00","(2,165.90)",,(245.17),(245.17),,(11),,36.00,(46.47),"3,349",Washington,Communications and Networking,Jenifer Osterwalder,0.14
BlueOne Card (PINX: BCRD),2,25.00,"25,000.00",(120.11),(608.81),"(4,475.20)","(4,325.60)",(65.37),(626),0.08,991.00,(34.29),"90,360",California,Other Financial Services,Todd Spinelli,0.15
Smartmetric (PINX: SMME),2,0.00,0.00,"(1,146.33)",,,,0.00,394,-0.18,62.00,(76.47),"2,018",Nevada,Commercial Services,Chaya Hendrick,0.19
Webstar Technology Group (PINX: WBSR),2,0.00,0.00,"(10,351.93)",,,,0.00,"1,200",-0.49,5.00,(5.07),"10,828",Florida,Software,Don Roberts,0.35
